Date,Company,TodaySentiment
2017-09-28,aapl,1
2017-09-29,aapl,1
2017-10-02,aapl,0
2017-10-03,aapl,1
2017-10-03,aapl,0
2017-10-03,aapl,1
2017-10-03,aapl,1
2017-10-04,aapl,0
2017-10-04,aapl,0
2017-10-04,aapl,1
2017-10-05,aapl,1
2017-10-05,aapl,1
2017-10-05,aapl,1
2017-10-05,aapl,0
2017-10-05,aapl,0
2017-10-05,aapl,1
2017-10-06,aapl,1
2017-10-06,aapl,1
2017-10-09,aapl,1
2017-10-09,aapl,1
2017-10-09,aapl,0
2017-10-09,aapl,0
2017-10-09,aapl,1
2017-10-09,aapl,1
2017-10-09,aapl,1
2017-10-09,aapl,1
2017-10-10,aapl,0
2017-10-10,aapl,0
2017-10-10,aapl,0
2017-10-11,aapl,1
2017-10-11,aapl,1
2017-10-11,aapl,0
2017-10-11,aapl,0
2017-10-11,aapl,1
2017-10-12,aapl,1
2017-10-12,aapl,0
2017-10-13,aapl,1
2017-10-13,aapl,1
2017-10-13,aapl,0
2017-10-13,aapl,1
2017-10-13,aapl,1
2017-10-13,aapl,1
2017-10-13,aapl,0
2017-10-16,aapl,1
2017-10-17,aapl,0
2017-10-17,aapl,1
2017-10-17,aapl,1
2017-10-18,aapl,0
2017-10-19,aapl,0
2017-10-20,aapl,0
2017-10-23,aapl,0
2017-10-24,aapl,1
2017-10-25,aapl,0
2017-10-26,aapl,1
2017-10-27,aapl,1
